"School Name","School Code","State","City","Activation Date","Fees: Retail and Corporate Level Users","Fees: Colleague Level Members"
"GARDNER-WEBB COLLEGE","_002929","NC","BOILING SPRINGS","01/31/2006","$6.50","$5.00"
"GARDNER-WEBB UNIVERSITY","_002929","NC","BOILING SPRINGS","01/31/2006","$6.50","$5.00"
"GARLAND JUNIOR COLLEGE","_002208","MA","BOSTON","07/21/2003","$9.50","$8.00"
"GARRETT COLLEGE","_010014","MD","MCHENRY","11/17/2005","$6.50","$5.00"
"GARRETT COMMUNITY COLLEGE","_010014","MD","MCHENRY","11/17/2005","$6.50","$5.00"
"GASTON COLLEGE","_002973","NC","DALLAS","04/19/2010","$6.50","$5.00"
"GASTON COMMUNITY COLLEGE","_002973","NC","DALLAS","04/19/2010","$6.50","$5.00"
"GASTON TECHNICAL COMMUNITY COLLEGE","_002973","NC","DALLAS","04/19/2010","$6.50","$5.00"
"GATEWAY COMMUNITY AND TECHNICAL COLLEGE","_005273","KY","COVINGTON","05/08/2003","$6.50","$5.00"
"GATEWAY COMMUNITY COLLEGE","_008303","AZ","PHOENIX","12/22/2009","$6.50","$5.00"
"GATEWAY COMMUNITY COLLEGE","_008037","CT","NEW HAVEN","09/11/2001","$6.50","$5.00"
"GENEVA COLLEGE","_003267","PA","BEAVER FALLS","06/16/2009","$8.50","$7.00"
"GEO. C. WALLACE STATE COMMUNITY COLLEGE IN HANCEVILLE","_007871","AL","HANCEVILLE","02/23/2007","$6.50","$5.00"
"GEORGE FOX UNIVERSITY","_003194","OR","NEWBERG","07/19/2005","$6.50","$5.00"
"GEORGE MASON UNIVERSITY","_003749","VA","FAIRFAX","08/04/2008","$10.00","$8.50"
"GEORGE PEABODY COLLEGE FOR TEACHERS","_003535","TN","NASHVILLE","03/16/2009","$6.50","$5.00"
"GEORGE WASHINGTON CARVER-PIEDMONT SCHOOL FOR PRACTICAL NURSING","_008660","VA","LOCUST GROVE","11/05/2008","$6.50","$5.00"
"GEORGE WASHINGTON UNIVERSITY","_001444","DC","WASHINGTON","08/29/2008","$9.50","$8.00"
"GEORGETOWN COLLEGE","_001964","KY","GEORGETOWN","03/11/2009","$8.50","$7.00"
"GEORGETOWN UNIVERSITY","_001445","DC","WASHINGTON","01/12/2005","$10.00","$8.50"
"GEORGETOWN UNIVERSITY LAW CENTER","_001445","DC","WASHINGTON","01/12/2005","$10.00","$8.50"
"GEORGETOWN UNIVERSITY MEDICAL CENTER","_001445","DC","WASHINGTON","01/12/2005","$10.00","$8.50"
"GEORGIA AVIATION & TECHNICAL COLLEGE","_001581","GA","COCHRAN","06/28/2005","$6.50","$5.00"
